user_screen_name,text,created_at,coordinates
50ShadesofSnay,Waiting to get back to Pitt like... @ I think I really had to pee https://t.co/Z9fi6dziMH,2015-03-12 17:35:35,0101000020E6100000CC988235CE0354C02C2CB81FF0504440
emnace96,Haven't we all? http://t.co/ZiHKCWA9fo,2014-03-30 20:01:38,0101000020E610000052073F92CE0354C0B8012358EA504440
Brooke_Smith9,I spy the first stop of last years scavenger hunt with the @Pirates @MikeDeMars http://t.co/hwLDIsL2sB,2014-04-12 16:27:26,0101000020E6100000BAD3637CD40354C014BA2263FB504440
sara_buds,Chronic bitch face.,2014-04-14 14:47:42,0101000020E61000005295BE29CF0354C09C6647CBFD504440
sara_buds,I made a spotify. I need friends 😕,2014-04-14 15:05:32,0101000020E61000004A7D17BED70354C0408DF7BAF7504440
GiGiRenee,So much weird fashion in the nail salon today... Soooo much weird fashion.,2014-04-18 17:48:34,0101000020E6100000373A636FD40354C001FC118EF2504440
coltfedell,Real Housewives of Wexford,2014-04-18 18:05:34,0101000020E61000001B0E8D1FD10354C0A6B317FAF5504440
jamiefehrs,"“@DTrott2: @jamiefehrs for the love of god, no”😂😂",2014-05-02 18:32:21,0101000020E61000000236B5A6D80354C06CAC2767E6504440
steph_anierene,I hate work. I hate today.,2014-05-06 18:09:33,0101000020E61000001465CAE2D90354C0A264AC15F1504440
steph_anierene,@karebearrr_ it's always so sick when people tweet their gpas 😏,2014-05-06 18:12:55,0101000020E61000005405BC2FDB0354C062F11FFBEE504440
steph_anierene,@karebearrr_ congratulations princess you always make me proud ☺️,2014-05-06 18:26:49,0101000020E6100000A8FA3A15D50354C021E73F9CEE504440
Tedward,"@calabrizzle haha, actually it's right near my parents house that it is being built",2014-05-07 16:11:46,0101000020E610000036DF4E43D00354C086ED821CEF504440
abarlow1988,The #Pirates refuse to just win easy.,2014-05-07 18:18:33,0101000020E61000003A2628D1D40354C0529519E301514440
warroom,But other than that he's the salt of the earth #harryreid,2014-05-11 13:37:08,0101000020E6100000C41D3547D20354C0E0EF59CFF7504440
Philbo__Baggin,@meganmurtha I will not be censored,2014-05-13 14:59:47,0101000020E6100000CD76853ED80354C0169A35C2EC504440
_herrmmm,I love the village at pine and all but trying to get out of there is a frickin nightmare #wheresroute19,2014-05-15 22:50:20,0101000020E6100000100BCE43DA0354C0F9783249F6504440
amandafayecowan,@devmerc they're all I have too.. still.,2014-05-21 02:29:09,0101000020E610000038BA4A77D70354C0AD855968E7504440
cmw27,@PopchockSays haha gotcha. Sorry my mind is still all mush I think from all the sickness 😁,2014-05-29 17:46:00,0101000020E61000003161342BDB0354C0321D3A3DEF504440
AhlamAlly,Hahahaha http://t.co/WHsOgKZYgH,2014-05-30 23:57:44,0101000020E61000003752B648DA0354C05CE49EAEEE504440
caramiakelly,I can't help but think I should have waited until after my job interview tomorrow to get this… http://t.co/TqoaEaBuoc,2014-06-04 20:00:35,0101000020E61000002333F6A9D30354C086858352EE504440
___emma,My blood is 75% caffeine and 25% acetaminophen most days,2014-06-21 00:26:29,0101000020E6100000A01B9AB2D30354C00873BB97FB504440
RyanElphinstone,The Twin Peaks remaster looks so nice. We are definitely having some marathon get-togethers.,2014-06-25 22:35:45,0101000020E610000076543541D40354C0583849F3C7504440
GiGiRenee,Manicures with the Godprincess...Green Miller Lite not included. http://t.co/RpsBrQoxVF,2014-03-15 20:02:02,0101000020E61000008EB0A888D30354C035ED629AE9504440
meghanleighhh,"“@collegefession: ""Everyone here is like fresh bird poo; Hot, white, and rich."" - Bucknell” @laurkeen",2014-03-14 15:48:30,0101000020E61000003CACAA76D10354C0FD42B897EE504440
meghanleighhh,“@TheFunnyTeens: Me getting ready for school in the morning http://t.co/HfT0tLG3B3” @AyeTayTay22,2014-03-14 15:40:57,0101000020E6100000C5A1C8A4D00354C0104A2DCEF7504440
meghanleighhh,"“@WolfpackAlan: Last name Hungry, first name Always.” @AyeTayTay22",2014-03-14 15:39:14,0101000020E610000034053AACD30354C0D0D0C3F9E9504440
meghanleighhh,Clair de lune is playing in the nail salon 👌😊,2014-03-14 15:37:11,0101000020E610000034053AACD30354C0D0D0C3F9E9504440
BubbaJumpInc,Jamming to #PitchPerfect in the #jeep with @xiomarak_17 💁,2014-03-11 16:58:30,0101000020E610000019F59C36DB0354C0922FF4CAED504440
steph_anierene,Suns out guns out,2014-02-28 20:55:49,0101000020E6100000A3350E0ED90354C09247AACEEE504440
sara_buds,"Rolling my eyes at these ""business"" people. You have $200 gtfo.",2014-02-28 16:15:16,0101000020E610000079A2B988CE0354C05A6D380BFF504440
sara_buds,My hair is so soft today. So not normal.,2014-02-28 15:50:37,0101000020E6100000FEAAD0FECF0354C05A2F023AFE504440
